Foil | Section,1,2,3,4,5,Mean
04_CUMean,80.79,76.73,78.15,76.86,75.89,77.68
04_CUStdev,0.47,0.77,0.92,1.16,1.12,1.71
05_CUMean,70.63,74.22,73.03,71.71,69.96,71.91
05_CUStdev,1.09,1.05,1.11,1.18,0.60,1.55
06_CUMean,77.01,78.04,77.45,77.90,75.16,77.11
06_CUStdev,0.59,0.46,1.06,0.62,0.38,1.04
08_CUMean,74.79,76.29,76.79,76.36,74.82,75.81
08_CUStdev,0.87,0.90,1.38,0.62,0.90,0.84
10_CUMean,77.48,80.33,76.83,77.02,75.20,77.37
10_CUStdev,0.98,0.46,0.98,0.60,0.59,1.67
11_CUMean,72.91,70.92,70.69,71.95,69.17,71.13
11_CUStdev,1.23,1.02,0.74,0.69,0.62,1.26
12_CUMean,77.92,75.62,77.97,75.51,75.58,76.52
12_CUStdev,0.90,0.67,0.51,0.42,0.36,1.17
14_CUMean,79.06,79.09,76.50,77.26,73.55,77.09
14_CUStdev,0.78,1.25,0.38,0.91,0.90,2.04
15_CUMean,68.74,70.01,70.57,70.77,69.10,69.84
15_CUStdev,0.73,0.90,0.63,0.51,0.72,0.80
16_CUMean,74.92,76.06,77.11,75.21,74.20,75.50
16_CUStdev,0.77,1.04,0.66,0.72,0.42,1.00
18_CUMean,75.21,75.88,76.10,75.47,74.08,75.35
18_CUStdev,0.78,0.54,0.45,1.03,0.75,0.71
19_CUMean,66.36,65.84,70.85,69.43,63.88,67.27
19_CUStdev,0.62,1.84,0.77,0.72,1.48,2.52
20_CUMean,78.26,80.92,79.26,80.04,77.91,79.28
20_CUStdev,1.32,0.62,0.30,0.52,0.82,1.11
21_CUMean,74.46,77.49,79.83,85.39,80.33,79.50
21_CUStdev,0.95,0.79,0.78,0.56,0.87,3.60
23_CUMean,75.35,77.53,79.21,78.74,78.22,77.81
23_CUStdev,0.45,0.85,1.17,0.72,0.41,1.35
24_CUMean,74.97,76.06,77.75,76.05,77.99,76.56
24_CUStdev,0.67,0.68,0.70,0.95,0.45,1.14
25_CUMean,71.00,72.37,72.59,72.78,70.40,71.83
25_CUStdev,1.45,0.68,1.13,1.00,1.15,0.95
,,,,,,
,,,,,,
Foil | Section,1,2,3,4,5,Mean
04_PIMean,51.40,53.30,54.21,50.33,53.28,52.50
04_PIStdev,0.68,0.72,0.59,0.77,0.75,1.42
05_PIMean,47.10,53.25,53.03,46.84,51.43,50.33
05_PIStdev,1.07,0.77,1.32,0.48,0.53,2.82
06_PIMean,49.59,54.74,53.46,49.22,52.36,51.87
06_PIStdev,0.56,1.19,0.94,0.59,0.57,2.16
08_PIMean,49.08,54.56,53.91,50.59,52.68,52.16
08_PIStdev,0.56,0.59,0.80,1.00,0.75,2.05
10_PIMean,50.22,55.48,54.77,49.77,54.57,52.96
10_PIStdev,0.73,0.71,0.84,0.99,0.58,2.45
11_PIMean,47.56,51.65,51.49,47.89,51.84,50.09
11_PIStdev,0.98,0.91,0.67,0.59,0.74,1.93
12_PIMean,49.66,53.68,54.86,49.20,51.66,51.81
12_PIStdev,0.83,0.66,0.56,0.37,0.77,2.20
14_PIMean,51.48,55.46,56.99,52.21,53.70,53.97
14_PIStdev,0.96,0.85,0.44,1.05,0.81,2.04
15_PIMean,46.66,51.05,52.05,47.80,50.86,49.68
15_PIStdev,0.76,0.90,0.66,0.45,0.66,2.08
16_PIMean,50.48,54.48,54.81,50.64,53.71,52.82
16_PIStdev,1.03,1.16,0.69,0.88,0.48,1.88
18_PIMean,49.57,54.12,53.79,48.06,52.93,51.69
18_PIStdev,0.76,0.63,1.06,0.60,0.60,2.43
19_PIMean,46.52,50.72,54.01,48.29,49.75,49.86
19_PIStdev,0.67,0.97,0.76,0.52,1.09,2.51
20_PIMean,50.10,57.15,55.04,52.98,55.42,54.14
20_PIStdev,1.42,1.13,0.48,0.57,0.66,2.42
21_PIMean,50.22,55.17,55.99,57.27,57.38,55.21
21_PIStdev,1.58,1.37,0.87,1.22,1.94,2.63
23_PIMean,51.50,56.35,57.16,53.41,56.09,54.90
23_PIStdev,0.76,0.82,1.15,0.83,0.68,2.12
24_PIMean,51.70,55.83,57.02,52.37,58.22,55.03
24_PIStdev,0.97,0.97,0.80,0.63,0.66,2.57
25_PIMean,51.76,57.24,57.17,54.07,56.46,55.34
25_PIStdev,1.31,0.74,2.08,2.27,0.87,2.13